Username,Retweets,Favourites,Post,Links,Date Posted
SuzieQ3dognite,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:23 SGT 2020,
Jocboi2x__,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:22 SGT 2020,
Gybran19,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:22 SGT 2020,
Nate_Goettsch,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:18 SGT 2020,
MarvinS1235,453,2013,"Paul Pierce has made or assisted on the most game-winning buzzer-beaters in NBA history, per @bball_ref.

• Pierce – 12 (7 made/5 assisted)
• Michael Jordan – 10 (9/1)
• Kobe Bryant – 8 (8/0)
• Vince Carter – 8 (5/3)
• LeBron James – 8 (7/1)
• Joe Johnson – 8 (8/0) https://t.co/vZRTerrTaO",Wed Feb 19 10:31:16 SGT 2020,
Kimmyrodr,0,0,? Kobe && Gigi Bryant tribute ? https://t.co/QDFbpGTmsF,Wed Feb 19 10:31:08 SGT 2020,
MilazzoMatt,495,1961,"17 years ago today, prime Kobe Bryant erupts for 52 points and posterizes Yao Ming with a baseline tomahawk jam.

It was his 6th consecutive game with at least 40 and his 10th straight with at least 35. https://t.co/WVaUouaXSL",Wed Feb 19 10:31:03 SGT 2020,
AndrValencia2,192695,773779,"Rest In Peace Kobe Bryant
Rest In Peace Gianna Bryant 
Rest In Peace Alyssa Altobelli
Rest In Peace John Altobelli
Rest In Peace Kerry Altobelli
Rest in Peace Christina Mauser
Rest in Peace Sarah Chester
Rest in Peace Payton Chester 
Rest in Peace Ara Zobayan",Wed Feb 19 10:31:00 SGT 2020,
supremokbc,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:31:00 SGT 2020,
josphedward,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:30:58 SGT 2020,
RealRayLalonde,0,0,"Chandails utilisés 1ère demie @nba dimanche en vente au profit de 2 fondations Kobe Bryant soit Mamba on Three Fund & Mamba & Mambacita Sports Foundation. Plusieurs symboles dont bandeau noir David Stern, logo 9 étoiles pour Kobe/victimes, KIA partenaire & Air Jordan fabricant https://t.co/yaQQQxHaae",Wed Feb 19 10:30:55 SGT 2020,
Ayoobray_,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:30:54 SGT 2020,
CoachLeeTLP,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:30:54 SGT 2020,
jrsanket_17,3170,37686,"Speechless,the world has lost a Legendary Athlete,R.I.P The #BlackMamba of Basketball, Kobe Bryant & his daughter,Gianna. 
What u have done for so many kids including my niece whom u inspired to play basketball every day of her childhood,may u both comfort each other in heaven?? https://t.co/qwQ8CffQ5F",Wed Feb 19 10:30:52 SGT 2020,
